city,location,latitude,longitude,count,location_freq
Faisalabad,Eden Valley,31.436061023815547,73.15458511149087,330,0.00283133632615272
Faisalabad,Satiana Road,31.36882294502573,73.13011609176533,307,0.002626791116278569
Faisalabad,Eden Orchard,31.484528000000005,73.08506601320131,303,0.002669853265725759
Faisalabad,Samundari Road,31.35266508402093,73.07125505578924,299,0.002605260041554974
Faisalabad,Wapda City,31.504048636968413,73.21518878534714,243,0.0019916244119325215
Faisalabad,Canal Road,31.437454269852402,73.15584712461782,181,0.0014425820064808536
Faisalabad,Madina Town,31.417756705932725,73.12038710212751,133,0.0013456921702246767
Faisalabad,Eden Gardens,31.426983775193797,73.14322427906977,129,0.001173443572435918
Faisalabad,Officers Colony,31.429588988888888,73.14278202222222,90,0.0008181808394966035
Faisalabad,Millat Road,31.452515000000002,73.09865,88,0.0007858842274112112
Faisalabad,Muslim Town,31.462310467821414,73.08658776523383,77,0.0023038249954246467
Faisalabad,Others,31.41839509352368,73.07961498466231,75,0.0007966497647730087
Faisalabad,Millat Town,31.49284363076886,73.1030953153744,72,0.0006351667043460475
Faisalabad,Peoples Colony No 1,31.407742506926496,73.10792339842824,71,0.0005490424054516681
Faisalabad,Nisar Colony,31.379599781318188,73.0653662750981,64,0.0005059802560044784
Faisalabad,Al Noor Garden,31.421522002464965,73.139779019951,57,0.0004521525691954914
Faisalabad,Jaranwala Road,31.403007290846595,73.13915598426233,52,0.0004629181065572888
Faisalabad,Sargodha Road,31.45023003067454,73.08661917572246,52,0.0004629181065572888
Faisalabad,Four Season Housing,31.343191945874036,73.06478286755859,50,0.00041985595711009914
Faisalabad,Peoples Colony No 2,31.397693083020112,73.0972042456898,44,0.00040909041974830174
Faisalabad,Jhang Road,31.400103333555307,72.03930746396988,42,0.0003014350461303276
Faisalabad,Saeed Colony,31.434299419284166,73.12874853745217,42,0.00033373165821571986
Faisalabad,Green Town,31.46328,73.09718605405406,37,0.001194974647159513
Faisalabad,Gulshan-e-Haram,31.364194000000005,73.06245899999999,37,0.0002906695087685302
Faisalabad,Khayaban Colony,31.427272057142858,73.13588622857144,35,0.000312200583492125
Faisalabad,Ghulam Mohammad Abad,31.44178812189256,73.04462564649324,34,0.000312200583492125
Faisalabad,Khayaban Colony 2,31.427567375833785,73.13115756120855,33,0.00026913843404493534
Faisalabad,Gulfishan Colony,31.405960558983594,73.04255593291849,32,0.0002906695087685302
Faisalabad,Samanabad,31.389928548387093,73.06892893548387,31,0.005296644382004328
Faisalabad,Gulshan e Madina,31.426305411577598,73.11607294022674,30,0.0002260762845977457
Faisalabad,Ghalib City,31.421539000000003,73.14799000000002,29,0.0002260762845977457
Faisalabad,Rachna Town,31.39058868780862,73.11578133008669,29,0.00019377967251235347
Faisalabad,Lahore - Sheikhupura - Faisalabad Road,31.46264412444632,73.15921004202708,28,0.0002260762845977457
Faisalabad,Mansoorabad,31.43546608611357,73.11820878450621,28,0.0002368418219595431
Faisalabad,Susan Road,31.423031846153847,73.11638442307691,26,0.00024760735932134053
Faisalabad,Nishatabad,31.451532548346794,73.11720239369266,24,0.00021531074723594827
Faisalabad,Amin Town,31.442440441759366,73.127893888638,22,0.0001507175230651638
Faisalabad,Punjab Govt. Servants Housing Foundation,31.367585,73.13717700000001,22,0.0001614830604269612
Faisalabad,Sir Syed Town,31.405160056009095,73.07798771851843,21,0.00017224859778875863
Faisalabad,Gulistan Colony No 1,31.441954550000002,73.10087065,20,0.0001614830604269612
Faisalabad,D Type Colony,31.380504338308214,73.08038342720799,19,0.0001614830604269612
Faisalabad,Narwala Road,31.43997389473684,73.02170210526315,19,0.0001614830604269612
Faisalabad,Bakar Mandi Road,31.41396537121647,73.05221192254189,17,0.00013995198570336637
Faisalabad,Civil Lines,31.440318176470587,73.08501105882353,17,0.001194974647159513
Faisalabad,Gulberg,31.424631095348587,73.06131919334312,17,0.007977263185091885
Faisalabad,Manawala,31.460676021326414,73.13912727625228,17,0.0001507175230651638
Faisalabad,Sheikh Colony,31.411164094590116,73.0443786425207,17,0.0001507175230651638
Faisalabad,Jhumra Road,31.469666187500003,73.13159362500001,16,0.00011842091097977155
Faisalabad,Nemat Colony No 1,31.411472,73.1231509375,16,0.00012918644834156897
Faisalabad,Raza Garden,31.451813,73.1619046875,16,0.0001507175230651638
Faisalabad,Yousaf Town,31.50550439256875,73.06790343822107,16,0.00013995198570336637
Faisalabad,Citi Housing Society,31.470422789486335,73.075603451052,15,0.00013995198570336637
Faisalabad,Khayaban Gardens,31.473328,73.089108,15,0.00013995198570336637
Faisalabad,Makkah Garden,31.508298,73.067842,15,0.00011842091097977155
Faisalabad,Nazimabad,31.40858166666667,73.06860206666667,15,0.010959317034309768
Faisalabad,D Ground,31.406121906151004,73.10740217421899,14,9.688983625617673e-05
Faisalabad,Green View Colony,31.445487848024147,73.07155659725278,14,0.00010765537361797414
Faisalabad,Al Najaf Colony,31.40288,73.122153,13,0.00013995198570336637
Faisalabad,Nemat Colony No 2,31.41064698164223,73.12701936460462,13,0.00010765537361797414
Faisalabad,Rehman Gardens,31.386322,73.126273,13,0.00020454520987415087
Faisalabad,Kohinoor Town,31.415799000000003,73.117983,12,8.612429889437932e-05
Faisalabad,Raza Abad,31.42614760340375,73.04804692464192,12,8.612429889437932e-05
Faisalabad,Riaz ul Jannah,31.47668006296792,73.06302470235191,12,7.53587615325819e-05
Faisalabad,SMD Homes,31.487271000000003,73.09093299999999,12,0.00012918644834156897
Faisalabad,Shahbaz Town,31.417304236630414,73.04129713370067,12,0.00011842091097977155
Faisalabad,Shalimar Park,31.376022028238918,73.09104146374509,12,7.53587615325819e-05
Faisalabad,Ahmadabad,31.445326604769637,73.11149462797408,11,8.612429889437932e-05
Faisalabad,Canal Expressway,31.505792090909093,73.19508945454545,11,6.459322417078448e-05
Faisalabad,Ideal Town,31.473263,73.077405,11,8.612429889437932e-05
Faisalabad,Jaranwala,31.331786189048184,73.41823473207873,11,7.53587615325819e-05
Faisalabad,Shahzad Colony,31.395879,73.111181,11,8.612429889437932e-05
Faisalabad,Usman Town,31.460026395424908,73.09873300439882,11,0.00010765537361797414
Faisalabad,Air Avenue City,31.391487,72.995389,10,9.688983625617673e-05
Faisalabad,Ali Housing Colony,31.4088958925607,73.03709704295309,10,9.688983625617673e-05
Faisalabad,Chak 209 RB Akalgarh,31.413841,73.180059,10,5.382768680898707e-05
Faisalabad,Kaleem Shaheed Colony No 1,31.432764,73.039556,10,9.688983625617673e-05
Faisalabad,Khayaban-e-Manzoor,31.397612,73.174014,10,6.459322417078448e-05
Faisalabad,Lasani Town,31.463701000000004,73.0772709,10,8.612429889437932e-05
Faisalabad,Shadab Colony,31.405964761319,73.0351758155191,10,8.612429889437932e-05
Faisalabad,Shadman Colony,31.399999474846403,73.1151414956827,10,9.688983625617673e-05
Faisalabad,Chenab Gardens,31.346967,73.07770699999999,9,7.53587615325819e-05
Faisalabad,Farooqabad,31.430860000000003,73.1180331111111,9,4.306214944718966e-05
Faisalabad,Gulberg Valley,31.407580000000003,73.15506733333334,9,8.612429889437932e-05
Faisalabad,Ismail Valley,31.492433,73.05834499999999,9,7.53587615325819e-05
Faisalabad,Khalid Abad,31.410498,73.071685,9,9.688983625617673e-05
Faisalabad,Paradise Valley,31.473035,73.195024,9,5.382768680898707e-05
Faisalabad,Sitara Colony,31.372253000000008,73.03658,9,8.612429889437932e-05
Faisalabad,Tariqabad,31.425583113444336,73.102742551278,9,9.688983625617673e-05
Faisalabad,Al Fayaz Colony,31.395439,73.110849,8,6.459322417078448e-05
Faisalabad,Bawa Chack 120 JB,31.478531985675627,73.08106439157375,8,5.382768680898707e-05
Faisalabad,Dhudi Wala,31.40310046141975,73.14785631945774,8,7.53587615325819e-05
Faisalabad,Garden Colony,31.397495000000003,73.105595,8,6.459322417078448e-05
Faisalabad,Gulshan Colony,31.431858,73.054833,8,0.00011842091097977155
Faisalabad,Gulshan-e-Hayat,31.41578,73.045905125,8,8.612429889437932e-05
Faisalabad,Hilal Road,31.386350875,73.099423875,8,5.382768680898707e-05
Faisalabad,Kaleem Shaheed Colony No 2,31.435446365012876,73.02685885689675,8,7.53587615325819e-05
Faisalabad,Sitara Sapna City,31.461569,73.063812,8,6.459322417078448e-05
Faisalabad,204 Chak Road,31.40633701170686,73.13686038638457,7,3.229661208539224e-05
Faisalabad,Abdullahpur,31.423882520134857,73.10667450385128,7,6.459322417078448e-05
Faisalabad,Allama Iqbal Colony,31.386358,73.08315828571428,7,0.00018301413515055604
Faisalabad,Ayub Colony,31.405993,73.055134,7,0.00020454520987415087
Faisalabad,Canal Park,31.407488719347146,73.09000887757215,7,6.459322417078448e-05
Faisalabad,Daewoo Road,31.470082,73.06824300000001,7,6.459322417078448e-05
Faisalabad,Daniyal Town,31.377251,73.116134,7,6.459322417078448e-05
Faisalabad,Khurianwala,31.492054803949998,73.26428475147357,7,4.306214944718966e-05
Faisalabad,Waris Pura,31.383275714285713,73.09571728571429,7,6.459322417078448e-05
Faisalabad,Ali Garden,31.381593999999996,72.979866,6,6.459322417078448e-05
Faisalabad,Chak 208 Road,31.434265467529332,73.14470478759766,6,5.382768680898707e-05
Faisalabad,Faisal Town,31.458576000000004,73.16035500000001,6,0.001636361678993207
Faisalabad,Gatwala Chowk,31.466749000000004,73.19184200000001,6,5.382768680898707e-05
Faisalabad,Gulbahar Colony,31.4041461908635,73.09823402683266,6,8.612429889437932e-05
Faisalabad,Jail Road,31.441217602817662,73.07842099755284,6,0.0001614830604269612
Faisalabad,Johar Colony,31.457626666666666,73.10644433333333,6,4.306214944718966e-05
Faisalabad,Latif Garden,31.468165305174,73.17544783826033,6,3.229661208539224e-05
Faisalabad,New Garden Town,31.392377447406165,73.10809189258732,6,5.382768680898707e-05
Faisalabad,Rabbani Colony,31.389471833333335,73.10661833333334,6,5.382768680898707e-05
Faisalabad,Raheem Gardens,31.372619,73.057237,6,6.459322417078448e-05
Faisalabad,Rasool Park,31.418481971130333,73.13314009399416,6,0.0003229661208539224
Faisalabad,Rehman Villas,31.367676,73.134282,6,0.00011842091097977155
Faisalabad,Valencia Gardens,31.350448,73.059597,6,4.306214944718966e-05
Faisalabad,Zia Colony,31.441479,73.142581,6,6.459322417078448e-05
Faisalabad,Afghanabad,31.419691017163,73.056716383789,5,4.306214944718966e-05
Faisalabad,Al Barkat Villas,31.377192,73.124949,5,4.306214944718966e-05
Faisalabad,Gulistan Colony No 2,31.446280813535402,73.0940391257406,5,5.382768680898707e-05
Faisalabad,Gulshan Rehman,31.386574000000003,73.117722,5,5.382768680898707e-05
Faisalabad,Gulshan-e-Rafique,31.374964,73.06499699999999,5,5.382768680898707e-05
Faisalabad,Haji Abad,31.495707,73.335301,5,4.306214944718966e-05
Faisalabad,Islamia Park,31.436792000000004,73.0997516,5,0.0002260762845977457
Faisalabad,Jinnah Colony,31.420424000000004,73.068065,5,0.0001614830604269612
Faisalabad,Kareem City,31.4761184,73.06451440000001,5,1.0765537361797415e-05
Faisalabad,Lasani Garden,31.457771,73.071649,5,4.306214944718966e-05
Faisalabad,Liaquat Town,31.414637,73.04911919999999,5,5.382768680898707e-05
Faisalabad,Mahmoodabad,31.4313,73.103356,5,5.382768680898707e-05
Faisalabad,Mian Zulfiqar Ali Shahid Road,31.472812999999995,73.086697,5,4.306214944718966e-05
Faisalabad,Santpura,31.414563999999995,73.071606,5,4.306214944718966e-05
Faisalabad,Younas Town,31.382585,73.123012,5,4.306214944718966e-05
Faisalabad,Ali Town,31.400535145874002,73.13923461254875,4,0.0002368418219595431
Faisalabad,Bilal Nagar,31.469658000000003,73.105807,4,2.153107472359483e-05
Faisalabad,Chak Jhumra,31.570492,73.18386600000001,4,3.229661208539224e-05
Faisalabad,Faisal Gardens,31.463152,73.173137,4,3.229661208539224e-05
Faisalabad,Kohinoor City,31.412659,73.116796,4,0.0
Faisalabad,Niamuana Bypass Road,31.338396,73.0817325,4,3.229661208539224e-05
Faisalabad,Nighabanpura,31.434668,73.10876400000001,4,3.229661208539224e-05
Faisalabad,Partab Nagar,31.410645,73.06155625,4,3.229661208539224e-05
Faisalabad,Rasheed Nagar,31.377236,73.067222,4,3.229661208539224e-05
Faisalabad,Rehman Town,31.463848,73.124306,4,2.153107472359483e-05
Faisalabad,Saifabad,31.402805750000002,73.0337985,4,3.229661208539224e-05
Faisalabad,Satellite Town,31.369541,73.066108,4,0.0022715283833392545
Faisalabad,Sitara Valley,31.467252,73.17525,4,3.229661208539224e-05
Faisalabad,University Town,31.496897,73.0806185,4,5.382768680898707e-05
Faisalabad,Al Rehmat Villas,31.410484000000007,73.151891,3,3.229661208539224e-05
Faisalabad,Babuwala,31.400281914308,73.017689259435,3,3.229661208539224e-05
Faisalabad,Canal Garden,31.459646000000003,73.17203466666666,3,0.0020669831734651035
Faisalabad,Chibban,31.434888,73.10266999999999,3,2.153107472359483e-05
Faisalabad,Dhandharan Chak 66 JB,31.390352000000004,72.96848100000001,3,3.229661208539224e-05
Faisalabad,Gobind Pura,31.42506466666667,73.064164,3,3.229661208539224e-05
Faisalabad,Guru Nanak Pura,31.429151666666666,73.070721,3,3.229661208539224e-05
Faisalabad,Hassan Villas,31.431487,73.150227,3,2.153107472359483e-05
Faisalabad,Ismail Green Valley,31.502916666666668,73.11398966666667,3,2.153107472359483e-05
Faisalabad,Karim Town,31.386174999999998,73.102723,3,3.229661208539224e-05
Faisalabad,Kashmir Road,31.446369,73.127801,3,0.00012918644834156897
Faisalabad,Kehkishan Colony No 1,31.402367,73.134513,3,2.153107472359483e-05
Faisalabad,Khawaja Islam Road,31.402765,73.11579499999999,3,3.229661208539224e-05
Faisalabad,Madina Gardens,31.366071666666667,73.140108,3,1.0765537361797415e-05
Faisalabad,Mohammad Nagar,31.396140000000003,73.11811933333333,3,3.229661208539224e-05
Faisalabad,Muzaffar Colony,31.376576,73.050792,3,3.229661208539224e-05
Faisalabad,Saddar,31.369503999999996,72.939849,3,0.00024760735932134053
Faisalabad,Suhail Abad,31.404308,73.098986,3,2.153107472359483e-05
Faisalabad,Taj Colony,31.441186,73.09236999999999,3,2.153107472359483e-05
Faisalabad,Tezab Mill Road,31.412036333333333,73.12615933333333,3,1.0765537361797415e-05
Faisalabad,Vista Homes,31.469185999999997,73.095636,3,2.153107472359483e-05
Faisalabad,Zulfiqar Colony,31.387105333333334,73.08827,3,2.153107472359483e-05
Faisalabad,Abdullah City,31.362066,73.065248,2,3.229661208539224e-05
Faisalabad,Al Masoom Town,31.394545,73.086732,2,1.0765537361797415e-05
Faisalabad,Amir Town,31.4591335,73.182458,2,1.0765537361797415e-05
Faisalabad,Burj Mandi,31.656085,73.097287,2,2.153107472359483e-05
Faisalabad,Chak 279/RB Kalan,31.421888,73.056843,2,2.153107472359483e-05
Faisalabad,Defence Fort Housing Scheme,31.35766,73.066266,2,1.0765537361797415e-05
Faisalabad,Gatwala Park Road,31.479016,73.212276,2,1.0765537361797415e-05
Faisalabad,Gulzar Colony,31.39537,73.12216,2,1.0765537361797415e-05
Faisalabad,Hajveeri Town,31.436719,73.095975,2,2.153107472359483e-05
Faisalabad,Illahi Abad,31.378481,73.108163,2,1.0765537361797415e-05
Faisalabad,Imran Road,31.426972151645003,73.134941472275,2,2.153107472359483e-05
Faisalabad,Ismail City,31.467713,73.066284,2,2.153107472359483e-05
Faisalabad,Jhang Bazar,31.416576,73.076872,2,1.0765537361797415e-05
Faisalabad,Judicial Employees Coop Housing Society,31.488279,73.211578,2,2.153107472359483e-05
Faisalabad,Kehkishan Colony No 2,31.405151,73.136315,2,2.153107472359483e-05
Faisalabad,Khawaja Gardens,31.391758000000003,73.106586,2,2.153107472359483e-05
Faisalabad,Lower Canal Road,31.412463,73.157133,2,1.0765537361797415e-05
Faisalabad,Madan Pura,31.433268,73.051089,2,2.153107472359483e-05
Faisalabad,Mediacom Avenue,31.435489,73.14030699999999,2,2.153107472359483e-05
Faisalabad,Model Town,31.424707706360003,73.0686877194825,2,0.004930616111703216
Faisalabad,Munianwala,31.481746,73.196139,2,1.0765537361797415e-05
Faisalabad,Murababad,31.449936,73.036973,2,1.0765537361797415e-05
Faisalabad,Nawaban Wala,31.3837945,73.060028,2,2.153107472359483e-05
Faisalabad,Samanabad Road,31.391063,73.071401,2,1.0765537361797415e-05
Faisalabad,Sitara Supreme City,31.496927000000003,73.072362,2,2.153107472359483e-05
Faisalabad,Tandlianwala Town,31.035763,73.133404,2,2.153107472359483e-05
Faisalabad,Umer Garden,31.40925,73.1244415,2,2.153107472359483e-05
Faisalabad,Umer Valley,31.467841,73.17931999999999,2,2.153107472359483e-05
Faisalabad,Akbar Chowk,31.43963,73.104997,1,1.0765537361797415e-05
Faisalabad,Al Jameel Housing Scheme,31.407028000000004,73.05455500000001,1,1.0765537361797415e-05
Faisalabad,Aqsa Town,31.451589,73.095632,1,1.0765537361797415e-05
Faisalabad,Canal View Hosuing Scheme,31.329825,73.049545,1,0.0
Faisalabad,Chak 208 RB Dogranwala,31.425148,73.161879,1,1.0765537361797415e-05
Faisalabad,Chak 8 JB Punj Garain,31.483137,73.045764,1,0.0
Faisalabad,Chak Bahga,31.481746,73.172364,1,0.0
Faisalabad,Circular Road,31.417119,73.082237,1,0.0
